Primary_key,id
38,862
208,8844
420,15602
567,31357
744,11862
868,949
1098,11860
1278,45325
1522,9091
1695,710
1951,9087
2132,12110
2326,21032
2497,10858
2629,1408
2812,524
2941,4584
3091,5
3223,9273
3411,11517
3578,8012
3745,1710
3919,9691
4200,12665
4405,451
4550,16420
4651,9263
4821,17015
4961,902
5211,37557
5352,9909
5491,63
5716,78802
5866,9598
6057,47018
6228,687
6338,139405
6600,33689
6776,9603
6984,34615
7106,31174
7243,11443
7444,35196
7626,9312
7766,577
7963,11861
8122,807
8286,10530
8491,8391
8641,629
8936,117164
9069,11448
9216,49133
9393,26441
9639,97406
9742,124057
9831,9089
10052,11010
10265,99040
10484,11359
10674,17182
10951,2054
11129,10607
11339,19760
11483,9536
11633,11525
11843,40628
11980,4482
12163,10634
12264,755
12510,11859
12723,28387
12902,48750
13045,20927
13187,36929
13326,9102
13471,124626
13623,27526
13769,9623
13905,46785
14054,400
14216,880
14357,146599
14528,188588
14581,8447
14728,10534
14986,17414
15254,13997
15360,2086
15528,61548
15650,9095
15852,12158
16032,9283
16206,9208
16408,40154
16523,406
16627,45549
16866,63076
16997,11062
17132,13685
17341,47475
17481,2045
17694,9614
17803,688
17960,11907
18134,10874
18381,89333
18488,96357
18570,197
18878,103
19053,33542
19314,43566
19540,71754
19653,43612
19775,51352
19961,16934
20145,10324
20288,78406
20436,55731
20670,32119
20787,11066
20969,11104
21284,37975
21429,2074
21581,27793
21726,44284
21897,290157
21937,110972
22081,32622
22213,73067
22390,11863
22590,55475
22760,124636
22906,9101
23016,123360
23151,5757
23262,39428
23372,124639
23404,9302
23554,11000
23705,249882
23893,16388
24074,9737
24269,30765
24486,10474
24633,22279
24815,30157
25009,568
25112,11780
25219,34996
25358,414
25527,649
25744,1873
25885,5894
25997,1775
26137,8839
26301,20649
26467,10329
26776,8963
26943,26564
27050,8068
27216,8512
27397,1572
27632,13552
27836,259209
27973,6520
28219,9073
28446,10428
28769,17447
28978,9886
29265,9482
29382,19326
29515,9344
29643,9071
29786,8973
29964,15730
30108,47608
30279,2293
30417,9070
30689,68274
30872,48787
31063,34574
31237,1642
31504,11472
31658,36196
31765,11980
31937,58372
32101,32646
32201,10533
32380,56088
32442,10802
32547,10149
32678,18402
32798,9348
32971,139408
33134,281
33341,5967
33498,79593
33615,47939
33754,36834
33897,9090
34084,3512
34241,52856
34415,77350
34523,9560
34672,9804
34892,31611
35006,65796
35197,49805
35311,26258
35584,50797
35702,19155
35914,76
36137,11017
36330,37141
36472,9382
36613,6715
36749,18256
37033,22625
37213,2292
37315,1909
37490,8984
37723,61813
37831,4954
38001,62488
38184,10531
38365,11929
38540,8467
38651,10451
38832,20156
39017,18395
39221,522
39383,397
39565,10525
39737,27985
39972,15789
40215,27303
40349,21183
40514,10954
40652,47867
40815,43475
41033,72031
41236,14275
41349,1024
41493,17207
41677,13701
41855,14819
42024,32631
42243,11777
42447,628
42644,87729
42792,18713
42932,6280
43101,9061
43299,37108
43561,6071
43760,11
43936,9587
44157,19101
44376,49980
44489,17961
44623,18183
44818,4476
45062,11008
45236,47504
45375,32325
45553,43742
45694,28313
45803,11318
45986,3036
46212,40490
46388,24070
46558,8986
46698,10510
46880,17402
47025,38722
47199,8438
47342,11593
47558,1945
47689,39310
47830,109560
48082,56428
48190,63105
48377,131957
48526,241
48776,9058
48943,527
49088,18220
49269,6950
49568,101
49745,63020
49921,2307
50103,680
50324,41478
50427,25296
50608,40156
50744,11450
50880,30304
51095,10452
51275,12106
51425,161495
51561,3586
51871,110
52051,108
52269,109
52525,159185
52658,36357
52833,92769
52972,28033
53119,22586
53236,14334
53460,2636
53602,2164
53857,11395
54063,278
54210,9905
54348,87078
54480,12527
54631,20306
54777,36614
54948,27993
55096,31439
55265,9067
55471,9059
55663,193
55885,25066
56062,46797
56201,12122
56391,11381
56497,32636
56647,36141
56789,95963
